event_row_id,batch_id,subject_id,name,preassigned_axis,event_year,polarity,event_type,event_description,source_url,source_title,source_publisher,source_date,source_quality,exclude,exclude_reason,source_batch_file,source_url_valid,event_keyword_family,verification_status,fetch_ok,http_status,page_title,name_signal,year_signal,keyword_signal,review_reason
d3dd7e3fbe5f2e4742c6,1,V5DEV_024,Domenico Adinolfi,COMPETITIVE,1976,negative,continental_title_loss,Lost the EBU European light-heavyweight title to Mate Parlov by TKO.,https://www.emilianoadinolfi.it/pugilato-adinolfi-domenico/,Pugilato Adinolfi Domenico,Emiliano Adinolfi - Metodologia & Calcio,,medium,False,,research/ml/artifacts/v5_event_collection_repaired/results_post_repair/batch_01/V5_DEV_EVENT_BATCH_01_EVENTS_POST_REPAIR.csv,True,title,MANUAL_REVIEW,False,,,False,False,False,source_not_retrievable_or_text_too_short;subject_name_not_detected;event_year_not_detected;event_keyword_family_not_detected
f287b025ab671e56f800,1,V5DEV_066,Gaston Rébuffat,PROJECT,1955,positive,film_award,The mountain film Étoiles et Tempêtes won the Grand Prix at the Trento festival.,https://www.lemonde.fr/archives/article/1956/11/02/etoiles-et-tempetes_2249277_1819218.html,ETOILES ET TEMPÊTES,Le Monde,1956-11-02,high,False,,research/ml/artifacts/v5_event_collection_repaired/results_post_repair/batch_01/V5_DEV_EVENT_BATCH_01_EVENTS_POST_REPAIR.csv,True,award,MANUAL_REVIEW,True,200.0,ETOILES ET TEMPÊTES,False,False,False,subject_name_not_detected;event_year_not_detected;event_keyword_family_not_detected
39ec08c7fc65c943e553,1,V5DEV_013,David Goffin,COMPETITIVE,2014,positive,tour_title_win,Won ATP singles titles in Kitzbühel and Metz during his comeback season.,https://www.atptour.com/en/scores/results-archive?year=2014,2014 Results Archive,ATP Tour,,high,False,,research/ml/artifacts/v5_event_collection_repaired/results_post_repair/batch_01/V5_DEV_EVENT_BATCH_01_EVENTS_POST_REPAIR.csv,True,title,MANUAL_REVIEW,False,403.0,,False,False,False,source_not_retrievable_or_text_too_short;subject_name_not_detected;event_year_not_detected;event_keyword_family_not_detected
0ff328707e84fb6f6663,1,V5DEV_013,David Goffin,COMPETITIVE,2022,positive,tour_title_win,Won his sixth ATP Tour singles title in Marrakech.,https://www.atptour.com/en/players/david_goffin/gb88/bio,David Goffin - Bio,ATP Tour,,high,False,,research/ml/artifacts/v5_event_collection_repaired/results_post_repair/batch_01/V5_DEV_EVENT_BATCH_01_EVENTS_POST_REPAIR.csv,True,title,MANUAL_REVIEW,False,403.0,,False,False,False,source_not_retrievable_or_text_too_short;subject_name_not_detected;event_year_not_detected;event_keyword_family_not_detected
4b64dabd630c8a179734,1,V5DEV_085,Roschdy Zem,PROJECT,2006,positive,film_award,Won the Cannes Best Actor award with the ensemble of Days of Glory (Indigènes).,https://www.festival-cannes.com/en/p/roschdy-zem/,Roschdy ZEM,Festival de Cannes,,high,False,,research/ml/artifacts/v5_event_collection_repaired/results_post_repair/batch_01/V5_DEV_EVENT_BATCH_01_EVENTS_POST_REPAIR.csv,True,award,MANUAL_REVIEW,False,403.0,,False,False,False,source_not_retrievable_or_text_too_short;subject_name_not_detected;event_year_not_detected;event_keyword_family_not_detected
9d69b2278d711d5d1a5f,1,V5DEV_135,Herbert Wehner,STATUS,1966,positive,ministerial_accession,Entered the federal government as Minister for All-German Affairs in the Grand Coalition.,https://www.bundestag.de/dokumente/textarchiv/alterspraesidenten-07-herbert-wehner-213730,Herbert Wehner will Gemeinsames hüten und pflegen,Deutscher Bundestag,,high,False,,research/ml/artifacts/v5_event_collection_repaired/results_post_repair/batch_01/V5_DEV_EVENT_BATCH_01_EVENTS_POST_REPAIR.csv,True,office,MANUAL_REVIEW,False,,,False,False,False,source_not_retrievable_or_text_too_short;subject_name_not_detected;event_year_not_detected;event_keyword_family_not_detected
d2d7a36e871e61a37138,2,V5DEV_098,Donatella Versace,STATUS,1997,positive,creative_leadership_accession,"Assumed leadership of Versace's creative vision after Gianni Versace's death, later serving as chief creative officer.",https://www.capriholdings.com/news/news-details/2025/Donatella-Versace-Assumes-Role-of-Chief-Brand-Ambassador-of-Versace/default.aspx,Donatella Versace Assumes Role of Chief Brand Ambassador of Versace,Capri Holdings,2025-03-13,high,False,,research/ml/artifacts/v5_event_collection_repaired/results_post_repair/batch_02/V5_DEV_EVENT_BATCH_02_EVENTS_POST_REPAIR.csv,True,office,MANUAL_REVIEW,False,403.0,,False,False,False,source_not_retrievable_or_text_too_short;subject_name_not_detected;event_year_not_detected;event_keyword_family_not_detected
7f4439a22bc66ee0edbb,2,V5DEV_098,Donatella Versace,STATUS,2025,negative,creative_authority_stepdown,Stepped down from chief creative officer and moved to chief brand ambassador as Dario Vitale took the creative leadership role.,https://www.capriholdings.com/news/news-details/2025/Donatella-Versace-Assumes-Role-of-Chief-Brand-Ambassador-of-Versace/default.aspx,Donatella Versace Assumes Role of Chief Brand Ambassador of Versace,Capri Holdings,2025-03-13,high,False,,research/ml/artifacts/v5_event_collection_repaired/results_post_repair/batch_02/V5_DEV_EVENT_BATCH_02_EVENTS_POST_REPAIR.csv,True,,MANUAL_REVIEW,False,403.0,,False,False,True,source_not_retrievable_or_text_too_short;subject_name_not_detected;event_year_not_detected
fb137fb460249b7f1743,2,V5DEV_101,Queen Latifah,STATUS,1995,positive,company_founder_leadership,Co-founded Flavor Unit Entertainment with Shakim Compere; contemporaneous coverage also identified her as a CEO of the Flavor Unit business.,https://www.paramountpressexpress.com/cbs-entertainment/talent/?view=queen-latifah,Queen Latifah - Bio,Paramount Press Express / CBS Entertainment,,high,False,,research/ml/artifacts/v5_event_collection_repaired/results_post_repair/batch_02/V5_DEV_EVENT_BATCH_02_EVENTS_POST_REPAIR.csv,True,office,MANUAL_REVIEW,False,200.0,Sorry - Not Allowed,False,False,False,source_not_retrievable_or_text_too_short;subject_name_not_detected;event_year_not_detected;event_keyword_family_not_detected
a7a095a89d2b748062f2,2,V5DEV_064,Gus Van Sant,PROJECT,2003,positive,film_festival_award,'Elephant' won both the Palme d'Or and Best Director award at Cannes.,https://www.festival-cannes.com/en/f/elephant/,ELEPHANT,Festival de Cannes,,high,False,,research/ml/artifacts/v5_event_collection_repaired/results_post_repair/batch_02/V5_DEV_EVENT_BATCH_02_EVENTS_POST_REPAIR.csv,True,award,MANUAL_REVIEW,False,403.0,,False,False,False,source_not_retrievable_or_text_too_short;subject_name_not_detected;event_year_not_detected;event_keyword_family_not_detected
