batch_id,research_order_in_batch,subject_id,name,preassigned_axis,event_year,polarity,event_type,event_description,source_url,source_title,source_publisher,source_date,source_quality,eligibility_note,exclude,exclude_reason,source_batch_file,source_batch,event_row_in_batch,source_quality_norm,fuzzy_primary_semantics
1,1,V5DEVE2_001,Henri Leconte,COMPETITIVE,1984,positive,grand_slam_doubles_title,Won the Roland Garros men's doubles title with Yannick Noah.,https://www.atptour.com/players/henri-leconte/l014/bio,Henri Leconte | Bio | ATP Tour | Tennis,ATP Tour,,high,Direct Grand Slam championship win.,False,,research/ml/artifacts/v5_dev_expansion_e2/results/batch_01/V5_DEV_EXPANSION_E2_BATCH_01_EVENTS.csv,1,1,high,False
1,1,V5DEVE2_001,Henri Leconte,COMPETITIVE,1988,negative,grand_slam_singles_final_loss,"Finished runner-up at Roland Garros, losing the singles final to Mats Wilander.",https://www.atptour.com/players/henri-leconte/l014/bio,Henri Leconte | Bio | ATP Tour | Tennis,ATP Tour,,high,Direct defeat in a Grand Slam championship final.,False,,research/ml/artifacts/v5_dev_expansion_e2/results/batch_01/V5_DEV_EXPANSION_E2_BATCH_01_EVENTS.csv,1,2,high,False
1,1,V5DEVE2_001,Henri Leconte,COMPETITIVE,1991,positive,davis_cup_team_title,"Helped France win the Davis Cup, beating Pete Sampras in singles and partnering Guy Forget to a doubles win.",https://www.atptour.com/players/henri-leconte/l014/bio,Henri Leconte | Bio | ATP Tour | Tennis,ATP Tour,,high,Direct contribution to a major international team championship.,False,,research/ml/artifacts/v5_dev_expansion_e2/results/batch_01/V5_DEV_EXPANSION_E2_BATCH_01_EVENTS.csv,1,3,high,False
1,2,V5DEVE2_002,Monica Bellucci,PROJECT,1997,positive,cesar_nomination,Received a César nomination for Most Promising Actress for L'appartement.,https://www.academie-cinema.org/personnes/monica-bellucci-172734/,Monica Bellucci,Académie des César,,high,Major national film-award recognition tied to a discrete film project.,False,,research/ml/artifacts/v5_dev_expansion_e2/results/batch_01/V5_DEV_EXPANSION_E2_BATCH_01_EVENTS.csv,1,4,high,False
1,2,V5DEVE2_002,Monica Bellucci,PROJECT,2002,positive,cannes_competition_selection,"Irréversible, in which Bellucci played Alex, was selected for the Cannes Film Festival's official Competition.",https://www.festival-cannes.com/en/f/irreversible/,IRRÉVERSIBLE,Festival de Cannes,,high,Major international festival Competition selection tied to a discrete starring film project.,False,,research/ml/artifacts/v5_dev_expansion_e2/results/batch_01/V5_DEV_EXPANSION_E2_BATCH_01_EVENTS.csv,1,5,high,False
1,3,V5DEVE2_003,Richard Nixon,STATUS,1960,negative,presidential_election_loss,Lost the 1960 U.S. presidential election to John F. Kennedy.,https://trumpwhitehouse.archives.gov/about-the-white-house/presidents/richard-m-nixon/,Richard M. Nixon – The White House,White House archive,,high,Direct loss in an election for the highest national office.,False,,research/ml/artifacts/v5_dev_expansion_e2/results/batch_01/V5_DEV_EXPANSION_E2_BATCH_01_EVENTS.csv,1,6,high,False
1,3,V5DEVE2_003,Richard Nixon,STATUS,1962,negative,gubernatorial_election_loss,Lost the 1962 California gubernatorial election to Pat Brown.,https://www.archives.gov/press/press-releases/2018/nr-18-69,The Greatest Comeback: Richard Nixon and the 1968 Election,U.S. National Archives,2018-09-13,high,Direct loss in an election for major state executive authority.,False,,research/ml/artifacts/v5_dev_expansion_e2/results/batch_01/V5_DEV_EXPANSION_E2_BATCH_01_EVENTS.csv,1,7,high,False
1,3,V5DEVE2_003,Richard Nixon,STATUS,1968,positive,presidential_election_win,Won the 1968 U.S. presidential election and became President.,https://trumpwhitehouse.archives.gov/about-the-white-house/presidents/richard-m-nixon/,Richard M. Nixon – The White House,White House archive,,high,Direct accession to the highest national office through election.,False,,research/ml/artifacts/v5_dev_expansion_e2/results/batch_01/V5_DEV_EXPANSION_E2_BATCH_01_EVENTS.csv,1,8,high,False
1,3,V5DEVE2_003,Richard Nixon,STATUS,1972,positive,presidential_reelection_win,Won reelection as U.S. President with 520 electoral votes.,https://www.archives.gov/electoral-college/1972,1972 Electoral College Results,U.S. National Archives,,high,Direct reelection to the highest national office.,False,,research/ml/artifacts/v5_dev_expansion_e2/results/batch_01/V5_DEV_EXPANSION_E2_BATCH_01_EVENTS.csv,1,9,high,False
1,3,V5DEVE2_003,Richard Nixon,STATUS,1974,negative,presidential_resignation,"Resigned as President of the United States on August 9, 1974.",https://www.archives.gov/electoral-college/1972,1972 Electoral College Results,U.S. National Archives,,high,Direct non-routine loss of the highest national office through resignation.,False,,research/ml/artifacts/v5_dev_expansion_e2/results/batch_01/V5_DEV_EXPANSION_E2_BATCH_01_EVENTS.csv,1,10,high,False
1,5,V5DEVE2_005,Mauricio Kagel,PROJECT,1969,positive,composition_project_award,Received Zürich's Scotoni Prize for the composition Hallelujah.,https://brahms.ircam.fr/en/mauricio-kagel,Biographie - Mauricio Kagel,IRCAM,,high,Named award explicitly tied to the discrete work Hallelujah.,False,,research/ml/artifacts/v5_dev_expansion_e2/results/batch_01/V5_DEV_EXPANSION_E2_BATCH_01_EVENTS.csv,1,14,high,False
1,7,V5DEVE2_007,Gaston Reiff,COMPETITIVE,1948,positive,olympic_gold,"Won the Olympic men's 5,000 metres gold medal in London.",https://www.olympedia.org/results/58571?id=58659,"5,000 metres, Men",Olympedia,,high,Direct Olympic championship win.,False,,research/ml/artifacts/v5_dev_expansion_e2/results/batch_01/V5_DEV_EXPANSION_E2_BATCH_01_EVENTS.csv,1,17,high,False
1,7,V5DEVE2_007,Gaston Reiff,COMPETITIVE,1950,positive,european_championship_bronze,"Won bronze in the 5,000 metres at the 1950 European Athletics Championships.",https://www.olympedia.org/athletes/65272,Gaston Reiff,Olympedia,,high,Direct medal result at a major continental championship.,False,,research/ml/artifacts/v5_dev_expansion_e2/results/batch_01/V5_DEV_EXPANSION_E2_BATCH_01_EVENTS.csv,1,18,high,False
1,7,V5DEVE2_007,Gaston Reiff,COMPETITIVE,1952,negative,olympic_final_dnf,"Qualified for the Olympic 5,000 metres final but did not finish the final.",https://www.olympedia.org/results/58930?id=57699,"5,000 metres, Men",Olympedia,,high,Direct failure to finish a major Olympic championship final.,False,,research/ml/artifacts/v5_dev_expansion_e2/results/batch_01/V5_DEV_EXPANSION_E2_BATCH_01_EVENTS.csv,1,19,high,False
1,8,V5DEVE2_008,Sam Cooke,PROJECT,1957,positive,number_one_single,You Send Me became Cooke's first No. 1 record and topped both the pop and R&B charts.,https://www.abkco.com/news-feed/sam-cooke-keen-years/,Sam Cooke's The Complete Keen Years Box Set,ABKCO Music & Records,,high,Major documented commercial success tied to a discrete recording project.,False,,research/ml/artifacts/v5_dev_expansion_e2/results/batch_01/V5_DEV_EXPANSION_E2_BATCH_01_EVENTS.csv,1,20,high,False
1,8,V5DEVE2_008,Sam Cooke,PROJECT,1960,positive,hit_single_success,Chain Gang became a Top 10 hit single during Cooke's RCA period.,https://www.abkco.com/news-feed/classic-sam-cooke-albums-available-in-dolby-atmos/,Classic Sam Cooke Albums Available in Dolby Atmos,ABKCO Music & Records,,high,Major chart success tied to a discrete recording project.,False,,research/ml/artifacts/v5_dev_expansion_e2/results/batch_01/V5_DEV_EXPANSION_E2_BATCH_01_EVENTS.csv,1,22,high,False
1,9,V5DEVE2_009,Jimmy Carter,STATUS,1976,positive,presidential_election_win,"Was elected President of the United States on November 2, 1976.",https://www.cartercenter.org/people/jimmy-carter/,Jimmy Carter,The Carter Center,,high,Direct accession to the highest national office through election.,False,,research/ml/artifacts/v5_dev_expansion_e2/results/batch_01/V5_DEV_EXPANSION_E2_BATCH_01_EVENTS.csv,1,23,high,False
1,9,V5DEVE2_009,Jimmy Carter,STATUS,1980,negative,presidential_reelection_loss,"Lost the 1980 presidential election to Ronald Reagan, 489 electoral votes to 49.",https://www.archives.gov/electoral-college/1980,1980 Electoral College Results,U.S. National Archives,,high,Direct defeat in an election to retain the highest national office.,False,,research/ml/artifacts/v5_dev_expansion_e2/results/batch_01/V5_DEV_EXPANSION_E2_BATCH_01_EVENTS.csv,1,24,high,False
1,10,V5DEVE2_010,Bernard Thévenet,COMPETITIVE,1975,positive,tour_de_france_win,"Won the 1975 Tour de France, becoming the first rider to defeat Eddy Merckx in the Tour.",https://www.letour.fr/en/news/2025/1975-a-landmark-year-iv-iv-thevenet-devours-the-cannibal/1324936,1975: a landmark year (IV/IV) - Thévenet devours the Cannibal,Tour de France,2025-06-26,high,Direct victory in cycling's premier stage race.,False,,research/ml/artifacts/v5_dev_expansion_e2/results/batch_01/V5_DEV_EXPANSION_E2_BATCH_01_EVENTS.csv,1,25,high,False
